S/N,pclass,survived,age,fare,embarked_C,embarked_Q,embarked_S,sex_female,sex_male
0,1,1,29,211,0,0,1,1,0
1,1,1,1,152,0,0,1,0,1
2,1,0,2,152,0,0,1,1,0
3,1,0,30,152,0,0,1,0,1
4,1,0,25,152,0,0,1,1,0
5,1,1,48,27,0,0,1,0,1
6,1,1,63,78,0,0,1,1,0
7,1,0,39,0,0,0,1,0,1
8,1,1,53,51,0,0,1,1,0
9,1,0,71,50,1,0,0,0,1
10,1,0,47,228,1,0,0,0,1
11,1,1,18,228,1,0,0,1,0
12,1,1,24,69,1,0,0,1,0
13,1,1,26,79,0,0,1,1,0
14,1,1,80,30,0,0,1,0,1
15,1,0,39,26,0,0,1,0,1
16,1,0,24,248,1,0,0,0,1
17,1,1,50,248,1,0,0,1,0
18,1,1,32,76,1,0,0,1,0
19,1,0,36,75,1,0,0,0,1
20,1,1,37,53,0,0,1,0,1
21,1,1,47,53,0,0,1,1,0
22,1,1,26,30,1,0,0,0,1
23,1,1,42,228,1,0,0,1,0
24,1,1,29,222,0,0,1,1,0
25,1,0,25,26,1,0,0,0,1
26,1,1,25,91,1,0,0,0,1
27,1,1,19,91,1,0,0,1,0
28,1,1,35,136,0,0,1,1,0
29,1,1,28,27,0,0,1,0,1
30,1,0,45,36,0,0,1,0,1
31,1,1,40,31,1,0,0,0,1
32,1,1,30,165,0,0,1,1,0
33,1,1,58,27,0,0,1,1,0
34,1,0,42,27,0,0,1,0,1
35,1,1,45,262,1,0,0,1,0
36,1,1,22,55,0,0,1,1,0
37,1,1,39,27,0,0,1,0,1
38,1,0,41,30,0,0,1,0,1
39,1,0,48,50,1,0,0,0,1
40,1,0,39,40,1,0,0,0,1
41,1,1,44,28,1,0,0,1,0
42,1,1,59,51,0,0,1,1,0
43,1,1,60,76,1,0,0,1,0
44,1,1,41,134,1,0,0,1,0
45,1,0,45,27,0,0,1,0,1
46,1,0,39,31,0,0,1,0,1
47,1,1,42,26,0,0,1,0,1
48,1,1,53,27,1,0,0,1,0
49,1,1,36,512,1,0,0,0,1
50,1,1,58,512,1,0,0,1,0
51,1,0,33,5,0,0,1,0,1
52,1,0,28,47,0,0,1,0,1
53,1,0,17,47,0,0,1,0,1
54,1,1,11,120,0,0,1,0,1
55,1,1,14,120,0,0,1,1,0
56,1,1,36,120,0,0,1,0,1
57,1,1,36,120,0,0,1,1,0
58,1,0,49,26,0,0,1,0,1
59,1,1,39,28,1,0,0,1,0
60,1,0,36,79,0,0,1,0,1
61,1,1,76,79,0,0,1,1,0
62,1,0,46,61,0,0,1,0,1
63,1,1,47,61,0,0,1,1,0
64,1,1,27,53,0,0,1,0,1
65,1,1,33,53,0,0,1,1,0
66,1,1,36,262,1,0,0,1,0
67,1,1,30,86,0,0,1,1,0
68,1,1,45,30,1,0,0,0,1
69,1,1,39,55,0,0,1,1,0
70,1,0,39,0,0,0,1,0,1
71,1,0,27,137,1,0,0,0,1
72,1,1,26,137,1,0,0,1,0
73,1,1,22,152,0,0,1,1,0
74,1,0,39,52,0,0,1,0,1
75,1,0,47,26,0,0,1,0,1
76,1,1,39,83,1,0,0,1,0
77,1,0,37,83,1,0,0,0,1
78,1,1,64,83,1,0,0,1,0
79,1,1,55,26,0,0,1,1,0
80,1,0,39,27,0,0,1,0,1
81,1,0,70,71,0,0,1,0,1
82,1,1,36,71,0,0,1,1,0
83,1,1,64,27,0,0,1,1,0
84,1,0,39,71,1,0,0,0,1
85,1,1,38,71,1,0,0,1,0
86,1,1,51,27,0,0,1,0,1
87,1,1,27,30,0,0,1,0,1
88,1,1,33,152,0,0,1,1,0
89,1,0,31,52,0,0,1,0,1
90,1,1,27,52,0,0,1,1,0
91,1,1,31,57,0,0,1,0,1
92,1,1,17,57,0,0,1,1,0
93,1,1,53,82,0,0,1,0,1
94,1,1,4,82,0,0,1,0,1
95,1,1,54,82,0,0,1,1,0
96,1,0,50,106,1,0,0,0,1
97,1,1,27,248,1,0,0,1,0
98,1,1,48,106,1,0,0,1,0
99,1,1,48,40,1,0,0,1,0
100,1,1,49,57,1,0,0,0,1
101,1,0,39,30,1,0,0,0,1
102,1,1,23,83,1,0,0,1,0
103,1,1,38,228,1,0,0,1,0
104,1,1,54,78,1,0,0,1,0
105,1,0,36,32,1,0,0,1,0
106,1,0,39,222,0,0,1,0,1
107,1,1,39,32,0,0,1,1,0
108,1,1,39,111,1,0,0,1,0
109,1,1,36,26,0,0,1,0,1
110,1,0,30,28,1,0,0,0,1
111,1,1,24,263,0,0,1,1,0
112,1,1,28,263,0,0,1,1,0
113,1,1,23,263,0,0,1,1,0
114,1,0,19,263,0,0,1,0,1
115,1,0,64,263,0,0,1,0,1
116,1,1,60,263,0,0,1,1,0
117,1,1,30,57,1,0,0,1,0
119,1,1,50,134,0,0,1,0,1
120,1,1,43,28,1,0,0,0,1
121,1,1,39,134,0,0,1,1,0
122,1,1,22,50,1,0,0,1,0
123,1,1,60,79,1,0,0,0,1
124,1,1,48,79,1,0,0,1,0
126,1,0,37,53,0,0,1,0,1
127,1,1,35,53,0,0,1,1,0
128,1,0,47,38,0,0,1,0,1
129,1,1,35,212,1,0,0,1,0
130,1,1,22,59,1,0,0,1,0
131,1,1,45,59,1,0,0,1,0
132,1,0,24,79,1,0,0,0,1
133,1,1,49,89,1,0,0,0,1
134,1,1,39,89,1,0,0,1,0
135,1,0,71,35,1,0,0,0,1
136,1,1,53,28,1,0,0,0,1
137,1,1,19,30,0,0,1,1,0
138,1,0,38,153,0,0,1,0,1
139,1,1,58,153,0,0,1,1,0
140,1,1,23,63,1,0,0,0,1
141,1,1,45,63,1,0,0,1,0
142,1,0,46,79,1,0,0,0,1
143,1,1,25,55,1,0,0,0,1
144,1,1,25,55,1,0,0,1,0
145,1,1,48,77,1,0,0,0,1
146,1,1,49,77,1,0,0,1,0
147,1,0,39,42,0,0,1,0,1
148,1,0,45,83,0,0,1,0,1
149,1,1,35,83,0,0,1,1,0
150,1,0,40,0,0,0,1,0,1
151,1,1,27,77,1,0,0,0,1
152,1,1,39,30,0,0,1,0,1
153,1,1,24,83,1,0,0,1,0
154,1,0,55,94,0,0,1,0,1
155,1,1,52,94,0,0,1,1,0
156,1,0,42,42,0,0,1,0,1
157,1,0,39,52,0,0,1,0,1
158,1,0,55,50,0,0,1,0,1
159,1,1,16,58,1,0,0,1,0
160,1,1,44,58,1,0,0,1,0
161,1,1,51,78,0,0,1,1,0
162,1,0,42,52,0,0,1,0,1
163,1,1,35,52,0,0,1,1,0
164,1,1,35,27,1,0,0,0,1
165,1,1,38,90,0,0,1,0,1
166,1,0,39,31,1,0,0,0,1
167,1,1,35,90,0,0,1,1,0
169,1,0,50,29,1,0,0,1,0
170,1,1,49,0,0,0,1,0,1
171,1,0,46,26,0,0,1,0,1
172,1,0,50,26,0,0,1,0,1
173,1,0,32,212,1,0,0,0,1
174,1,0,58,30,1,0,0,0,1
175,1,0,41,52,0,0,1,0,1
176,1,1,39,52,0,0,1,1,0
177,1,1,42,53,0,0,1,0,1
178,1,1,45,53,0,0,1,1,0
180,1,1,39,211,0,0,1,1,0
181,1,1,49,26,0,0,1,1,0
182,1,1,30,106,1,0,0,1,0
183,1,1,35,512,1,0,0,0,1
184,1,0,39,28,1,0,0,0,1
186,1,1,55,28,1,0,0,1,0
187,1,1,16,39,0,0,1,1,0
188,1,1,51,39,0,0,1,1,0
189,1,0,29,30,0,0,1,0,1
190,1,1,21,78,0,0,1,1,0
191,1,0,30,46,0,0,1,0,1
192,1,1,58,147,1,0,0,1,0
193,1,1,15,211,0,0,1,1,0
194,1,0,30,26,0,0,1,0,1
195,1,1,16,86,0,0,1,1,0
196,1,1,39,30,1,0,0,0,1
197,1,0,19,53,0,0,1,0,1
198,1,1,18,53,0,0,1,1,0
199,1,1,24,50,1,0,0,1,0
200,1,0,46,75,1,0,0,0,1
201,1,0,54,52,0,0,1,0,1
202,1,1,36,26,0,0,1,0,1
203,1,0,28,82,1,0,0,0,1
204,1,1,39,82,1,0,0,1,0
205,1,0,65,27,0,0,1,0,1
206,1,0,44,90,0,1,0,0,1
207,1,1,33,90,0,1,0,1,0
208,1,1,37,90,0,1,0,1,0
209,1,1,30,58,1,0,0,0,1
210,1,0,55,30,0,0,1,0,1
211,1,0,47,42,0,0,1,0,1
212,1,0,37,30,1,0,0,0,1
213,1,1,31,113,1,0,0,1,0
214,1,1,23,113,1,0,0,1,0
215,1,0,58,113,1,0,0,0,1
216,1,1,19,26,0,0,1,1,0
217,1,0,64,26,0,0,1,0,1
218,1,1,39,109,1,0,0,1,0
219,1,1,39,26,1,0,0,0,1
220,1,1,22,62,1,0,0,1,0
221,1,0,65,62,1,0,0,0,1
222,1,0,28,28,1,0,0,0,1
224,1,0,46,28,0,0,1,0,1
225,1,0,23,94,0,0,1,0,1
226,1,0,29,67,0,0,1,0,1
227,1,1,22,67,0,0,1,1,0
228,1,0,18,109,1,0,0,0,1
229,1,1,17,109,1,0,0,1,0
230,1,1,30,94,0,0,1,1,0
231,1,1,52,30,0,0,1,0,1
232,1,0,47,52,0,0,1,0,1
233,1,1,56,83,1,0,0,1,0
234,1,0,38,0,0,0,1,0,1
235,1,1,39,40,0,0,1,0,1
236,1,0,22,136,1,0,0,0,1
237,1,0,39,228,1,0,0,0,1
238,1,1,43,211,0,0,1,1,0
239,1,0,31,50,0,0,1,0,1
240,1,1,45,27,0,0,1,0,1
241,1,0,39,50,0,0,1,0,1
242,1,1,33,28,1,0,0,1,0
244,1,0,36,40,1,0,0,0,1
245,1,1,33,86,0,0,1,1,0
246,1,0,55,59,1,0,0,0,1
247,1,1,54,59,1,0,0,1,0
248,1,0,33,27,0,0,1,0,1
249,1,1,13,262,1,0,0,0,1
250,1,1,18,262,1,0,0,1,0
251,1,1,21,262,1,0,0,1,0
252,1,0,61,262,1,0,0,0,1
253,1,1,48,262,1,0,0,1,0
254,1,1,39,30,0,0,1,0,1
256,1,1,39,26,0,0,1,0,1
257,1,1,35,58,1,0,0,1,0
258,1,1,30,31,1,0,0,1,0
259,1,1,34,27,0,0,1,0,1
260,1,1,40,153,0,0,1,1,0
261,1,1,35,26,0,0,1,0,1
262,1,0,50,56,0,0,1,0,1
263,1,1,39,56,0,0,1,1,0
264,1,1,56,36,1,0,0,0,1
265,1,1,28,36,0,0,1,0,1
266,1,0,56,27,0,0,1,0,1
267,1,0,56,31,1,0,0,0,1
268,1,0,24,60,0,0,1,0,1
269,1,0,39,26,0,0,1,0,1
270,1,1,18,60,0,0,1,1,0
271,1,1,24,82,0,0,1,0,1
272,1,1,23,82,0,0,1,1,0
273,1,1,6,134,1,0,0,0,1
274,1,1,45,134,1,0,0,0,1
275,1,1,40,134,1,0,0,1,0
276,1,0,57,147,1,0,0,0,1
277,1,1,39,147,1,0,0,1,0
278,1,1,32,30,1,0,0,0,1
279,1,0,62,27,0,0,1,0,1
280,1,1,54,55,1,0,0,0,1
281,1,1,43,55,1,0,0,1,0
282,1,1,52,78,1,0,0,1,0
285,1,0,67,222,0,0,1,0,1
286,1,0,63,222,0,0,1,1,0
287,1,0,61,32,0,0,1,0,1
288,1,1,48,26,0,0,1,1,0
289,1,1,18,80,0,0,1,1,0
290,1,0,52,80,0,0,1,0,1
291,1,1,39,80,0,0,1,1,0
292,1,1,48,52,0,0,1,0,1
293,1,1,39,52,0,0,1,1,0
294,1,0,49,111,1,0,0,0,1
295,1,1,17,111,1,0,0,0,1
296,1,1,39,111,1,0,0,1,0
297,1,1,39,79,1,0,0,1,0
298,1,1,31,29,1,0,0,0,1
299,1,0,40,28,1,0,0,0,1
300,1,0,61,34,0,0,1,0,1
301,1,0,47,34,0,0,1,0,1
302,1,1,35,512,1,0,0,1,0
303,1,0,64,75,1,0,0,0,1
304,1,1,60,75,1,0,0,1,0
305,1,0,60,27,0,0,1,0,1
306,1,0,54,77,0,0,1,0,1
307,1,0,21,77,0,0,1,0,1
308,1,1,55,136,1,0,0,1,0
309,1,1,31,165,0,0,1,1,0
310,1,0,57,165,0,0,1,0,1
311,1,1,45,165,0,0,1,1,0
312,1,0,50,212,1,0,0,0,1
313,1,0,27,212,1,0,0,0,1
314,1,1,50,212,1,0,0,1,0
315,1,1,21,27,0,0,1,1,0
316,1,0,51,61,1,0,0,0,1
317,1,1,21,61,1,0,0,0,1
318,1,0,39,35,0,0,1,0,1
319,1,1,31,134,1,0,0,1,0
320,1,1,39,36,0,0,1,0,1
322,1,1,36,136,1,0,0,1,0
323,2,0,30,24,1,0,0,0,1
324,2,1,28,24,1,0,0,1,0
325,2,0,30,13,0,0,1,0,1
326,2,0,18,12,0,0,1,0,1
327,2,0,25,10,0,0,1,0,1
328,2,0,34,26,0,0,1,0,1
329,2,1,36,26,0,0,1,1,0
330,2,0,57,13,0,0,1,0,1
332,2,0,23,10,0,0,1,0,1
333,2,1,36,13,0,0,1,1,0
334,2,0,28,10,0,0,1,0,1
335,2,0,51,13,0,0,1,0,1
336,2,1,32,26,0,0,1,0,1
337,2,1,19,26,0,0,1,1,0
338,2,0,28,26,0,0,1,0,1
339,2,1,1,39,0,0,1,0,1
340,2,1,4,39,0,0,1,1,0
341,2,1,12,39,0,0,1,1,0
342,2,1,36,39,0,0,1,1,0
343,2,1,34,13,0,0,1,0,1
344,2,1,19,13,0,0,1,1,0
345,2,0,23,13,0,0,1,0,1
346,2,0,26,13,0,0,1,0,1
347,2,0,42,13,0,0,1,0,1
348,2,0,27,13,0,0,1,0,1
349,2,1,24,13,0,0,1,1,0
350,2,1,15,39,0,0,1,1,0
351,2,0,60,39,0,0,1,0,1
352,2,1,40,39,0,0,1,1,0
353,2,1,20,26,0,0,1,1,0
354,2,0,25,26,0,0,1,0,1
356,2,0,25,13,0,0,1,0,1
358,2,1,42,13,0,0,1,1,0
359,2,1,1,29,0,0,1,0,1
360,2,1,26,29,0,0,1,0,1
361,2,1,22,29,0,0,1,1,0
362,2,1,35,21,0,0,1,1,0
363,2,0,30,0,0,0,1,0,1
364,2,0,19,13,0,0,1,0,1
365,2,0,44,26,0,0,1,1,0
366,2,0,54,26,0,0,1,0,1
367,2,0,52,14,0,0,1,0,1
368,2,0,37,26,0,0,1,0,1
369,2,0,29,26,0,0,1,1,0
370,2,1,25,30,0,0,1,1,0
371,2,1,45,30,0,0,1,1,0
372,2,0,29,26,0,0,1,0,1
373,2,1,28,26,0,0,1,1,0
374,2,0,29,10,0,0,1,0,1
375,2,0,28,13,0,0,1,0,1
376,2,1,24,10,0,0,1,0,1
377,2,1,8,26,0,0,1,1,0
378,2,0,31,26,0,0,1,0,1
379,2,1,31,26,0,0,1,1,0
380,2,1,22,10,0,0,1,1,0
381,2,0,30,13,0,0,1,1,0
382,2,0,30,21,0,0,1,1,0
383,2,0,21,12,0,0,1,0,1
385,2,1,8,37,0,0,1,0,1
386,2,0,18,74,0,0,1,0,1
387,2,1,48,37,0,0,1,1,0
388,2,1,28,13,0,0,1,1,0
389,2,0,32,13,0,0,1,0,1
390,2,0,17,74,0,0,1,0,1
391,2,0,29,28,1,0,0,0,1
392,2,1,24,28,1,0,0,1,0
393,2,0,25,32,0,0,1,0,1
395,2,1,18,23,0,0,1,1,0
396,2,1,34,23,0,0,1,1,0
398,2,1,8,32,0,0,1,0,1
399,2,0,42,32,0,0,1,0,1
400,2,1,34,32,0,0,1,1,0
401,2,1,27,14,1,0,0,1,0
402,2,1,30,14,1,0,0,1,0
404,2,0,21,13,0,0,1,0,1
405,2,0,18,13,0,0,1,0,1
406,2,0,40,26,0,0,1,0,1
407,2,1,29,26,0,0,1,1,0
408,2,0,18,10,0,0,1,0,1
409,2,0,36,13,0,0,1,0,1
411,2,0,38,13,0,0,1,1,0
412,2,0,35,26,0,0,1,0,1
413,2,0,38,21,0,0,1,0,1
414,2,0,34,21,0,0,1,0,1
415,2,1,34,13,0,0,1,1,0
416,2,0,16,26,0,0,1,0,1
417,2,0,26,10,0,0,1,0,1
418,2,0,47,10,0,0,1,0,1
421,2,0,24,14,0,0,1,0,1
422,2,0,24,13,0,0,1,0,1
423,2,0,34,13,0,0,1,0,1
425,2,0,52,13,0,0,1,0,1
427,2,1,1,14,0,0,1,0,1
428,2,1,24,14,0,0,1,1,0
429,2,0,44,13,0,0,1,0,1
430,2,1,6,33,0,0,1,1,0
431,2,0,28,33,0,0,1,0,1
432,2,1,62,10,0,0,1,0,1
433,2,0,30,10,0,0,1,0,1
434,2,1,7,26,0,0,1,1,0
435,2,0,43,26,0,0,1,0,1
436,2,1,45,26,0,0,1,1,0
437,2,1,24,65,0,0,1,1,0
439,2,0,49,65,0,0,1,0,1
440,2,1,48,65,0,0,1,1,0
441,2,1,55,16,0,0,1,1,0
442,2,0,24,74,0,0,1,0,1
443,2,0,32,74,0,0,1,0,1
444,2,0,21,74,0,0,1,0,1
445,2,0,18,13,0,0,1,1,0
446,2,1,20,23,0,0,1,1,0
447,2,0,23,12,0,0,1,0,1
449,2,1,54,23,0,0,1,1,0
450,2,0,50,13,0,0,1,0,1
451,2,0,44,26,0,0,1,0,1
454,2,1,42,13,0,0,1,0,1
455,2,0,63,26,0,0,1,0,1
456,2,0,60,26,0,0,1,1,0
457,2,0,33,12,0,0,1,0,1
458,2,1,17,10,0,0,1,1,0
459,2,0,42,27,0,0,1,0,1
460,2,1,24,27,0,0,1,1,0
461,2,0,47,15,0,0,1,0,1
462,2,0,24,32,0,0,1,0,1
463,2,0,22,32,0,0,1,0,1
464,2,0,32,10,0,0,1,0,1
465,2,1,23,14,1,0,0,1,0
467,2,1,24,26,0,0,1,1,0
468,2,0,22,21,0,0,1,1,0
469,2,1,30,12,0,1,0,1,0
470,2,0,35,12,0,1,0,0,1
471,2,1,45,14,0,0,1,1,0
472,2,0,57,12,0,1,0,0,1
474,2,0,31,10,0,0,1,0,1
475,2,0,26,26,0,0,1,1,0
476,2,0,30,26,0,0,1,0,1
477,2,0,30,11,0,1,0,0,1
478,2,1,1,42,1,0,0,1,0
479,2,1,3,42,1,0,0,1,0
480,2,0,25,42,1,0,0,0,1
481,2,1,22,42,1,0,0,1,0
482,2,1,17,12,1,0,0,1,0
483,2,1,30,33,0,0,1,1,0
484,2,1,34,10,0,0,1,1,0
485,2,0,36,13,1,0,0,0,1
486,2,0,24,10,0,0,1,0,1
487,2,0,61,12,0,1,0,0,1
488,2,0,50,26,0,0,1,0,1
489,2,1,42,26,0,0,1,1,0
490,2,0,57,10,0,0,1,1,0
491,2,0,30,15,1,0,0,0,1
492,2,1,1,37,1,0,0,0,1
493,2,0,31,37,1,0,0,0,1
494,2,1,24,37,1,0,0,1,0
495,2,0,30,16,1,0,0,0,1
497,2,0,40,16,0,0,1,0,1
498,2,0,32,14,0,0,1,0,1
500,2,0,46,26,0,0,1,0,1
501,2,1,13,20,0,0,1,1,0
502,2,1,41,20,0,0,1,1,0
503,2,1,19,10,0,0,1,0,1
504,2,0,39,13,0,0,1,0,1
505,2,0,48,13,0,0,1,0,1
506,2,0,70,10,0,0,1,0,1
508,2,0,54,14,0,0,1,0,1
509,2,0,39,26,0,0,1,0,1
510,2,0,16,10,0,0,1,0,1
511,2,0,62,10,0,1,0,0,1
512,2,0,32,30,1,0,0,0,1
513,2,1,14,30,1,0,0,1,0
514,2,1,2,26,0,0,1,0,1
515,2,1,3,26,0,0,1,0,1
516,2,0,36,26,0,0,1,0,1
518,2,0,19,37,0,0,1,0,1
519,2,0,28,14,0,0,1,0,1
520,2,1,20,14,1,0,0,0,1
521,2,1,29,10,0,0,1,1,0
523,2,1,22,10,0,0,1,0,1
524,2,1,30,14,1,0,0,0,1
526,2,1,29,14,1,0,0,0,1
529,2,1,50,26,0,0,1,1,0
530,2,0,19,10,0,0,1,0,1
531,2,0,30,15,1,0,0,0,1
532,2,0,41,13,0,0,1,0,1
533,2,1,21,21,0,0,1,1,0
535,2,0,43,21,0,0,1,0,1
536,2,1,32,13,0,0,1,1,0
538,2,1,30,13,1,0,0,0,1
539,2,0,27,15,1,0,0,0,1
540,2,1,2,26,0,0,1,1,0
541,2,1,8,26,0,0,1,1,0
542,2,1,33,26,0,0,1,1,0
543,2,0,36,10,0,0,1,0,1
545,2,1,30,21,0,0,1,1,0
547,2,0,23,15,1,0,0,0,1
548,2,1,1,19,0,0,1,0,1
549,2,1,3,19,0,0,1,0,1
550,2,1,24,19,0,0,1,1,0
551,2,1,50,10,0,0,1,1,0
553,2,1,21,10,0,0,1,1,0
556,2,0,27,26,0,0,1,0,1
557,2,1,25,26,0,0,1,1,0
558,2,1,18,13,0,0,1,1,0
559,2,1,20,37,0,0,1,1,0
560,2,1,30,13,0,0,1,1,0
561,2,0,59,14,0,0,1,0,1
562,2,1,30,12,0,1,0,1,0
563,2,0,35,10,0,0,1,0,1
564,2,1,40,13,0,0,1,1,0
566,2,0,41,15,1,0,0,0,1
568,2,0,18,13,0,0,1,0,1
569,2,0,14,65,0,0,1,0,1
572,2,1,28,13,0,0,1,1,0
573,2,1,27,10,0,0,1,1,0
574,2,0,29,21,0,0,1,0,1
575,2,0,27,21,0,0,1,1,0
576,2,0,40,13,0,0,1,0,1
577,2,1,31,21,0,0,1,1,0
578,2,0,30,21,0,0,1,0,1
582,2,1,12,16,0,0,1,1,0
583,2,1,40,16,0,0,1,1,0
584,2,1,32,13,0,0,1,1,0
587,2,1,2,23,0,0,1,0,1
588,2,1,4,23,0,0,1,1,0
589,2,1,29,23,0,0,1,1,0
590,2,1,1,28,0,0,1,1,0
591,2,1,5,28,0,0,1,1,0
592,2,0,36,28,0,0,1,0,1
593,2,1,33,28,0,0,1,1,0
