S/N,pclass,survived,age,fare,embarked_C,embarked_Q,embarked_S,sex_female,sex_male
594,2,0,66,10,0,0,1,0,1
595,2,0,30,13,0,0,1,0,1
596,2,1,31,13,0,0,1,0,1
597,2,1,30,13,0,0,1,0,1
598,2,1,26,14,0,0,1,1,0
599,2,0,24,13,0,0,1,1,0
600,3,0,42,8,0,0,1,0,1
601,3,0,13,20,0,0,1,0,1
602,3,0,16,20,0,0,1,0,1
603,3,1,35,20,0,0,1,1,0
604,3,1,16,8,0,0,1,1,0
605,3,1,25,8,0,0,1,0,1
606,3,1,20,8,0,0,1,0,1
607,3,1,18,7,1,0,0,1,0
608,3,0,30,7,0,0,1,0,1
609,3,0,26,8,0,0,1,0,1
610,3,0,40,9,0,0,1,1,0
611,3,1,1,9,0,0,1,0,1
612,3,1,18,9,0,0,1,1,0
613,3,1,26,19,1,0,0,0,1
614,3,0,26,8,0,0,1,0,1
615,3,0,20,8,0,0,1,0,1
616,3,0,24,7,0,0,1,0,1
617,3,0,25,7,0,0,1,0,1
618,3,0,35,8,0,0,1,0,1
619,3,0,18,8,0,0,1,0,1
620,3,0,32,23,0,0,1,0,1
621,3,1,19,8,0,0,1,1,0
622,3,0,4,31,0,0,1,0,1
623,3,0,6,31,0,0,1,1,0
624,3,0,2,31,0,0,1,1,0
625,3,1,17,8,0,0,1,1,0
626,3,0,38,8,0,0,1,1,0
627,3,0,9,31,0,0,1,1,0
628,3,0,11,31,0,0,1,1,0
629,3,0,39,31,0,0,1,0,1
630,3,1,27,8,0,0,1,0,1
631,3,0,26,8,0,0,1,0,1
632,3,0,39,31,0,0,1,1,0
633,3,0,20,8,0,0,1,0,1
634,3,0,26,8,0,0,1,0,1
635,3,0,25,18,0,0,1,0,1
636,3,0,18,18,0,0,1,1,0
637,3,0,24,8,0,0,1,0,1
638,3,0,35,7,0,0,1,0,1
639,3,0,5,31,0,0,1,0,1
640,3,0,9,31,0,0,1,0,1
641,3,1,3,31,0,0,1,0,1
642,3,0,13,31,0,0,1,0,1
643,3,1,5,31,0,0,1,1,0
644,3,0,40,31,0,0,1,0,1
645,3,1,23,8,0,0,1,0,1
646,3,1,38,31,0,0,1,1,0
647,3,1,45,7,1,0,0,1,0
648,3,0,21,7,1,0,0,0,1
649,3,0,23,7,0,0,1,0,1
650,3,0,17,14,1,0,0,1,0
651,3,0,30,7,1,0,0,0,1
652,3,0,23,8,0,0,1,0,1
653,3,1,13,7,1,0,0,1,0
654,3,0,20,7,1,0,0,0,1
655,3,0,32,16,0,0,1,0,1
656,3,1,33,16,0,0,1,1,0
657,3,1,1,19,1,0,0,1,0
659,3,1,5,19,1,0,0,1,0
660,3,1,24,19,1,0,0,1,0
661,3,1,18,8,0,0,1,1,0
662,3,0,40,7,1,0,0,0,1
664,3,1,20,7,1,0,0,0,1
665,3,0,18,14,1,0,0,1,0
666,3,0,45,14,1,0,0,1,0
667,3,0,27,8,0,1,0,1,0
668,3,0,22,8,0,0,1,0,1
669,3,0,19,8,0,0,1,0,1
671,3,0,22,9,0,0,1,0,1
672,3,0,25,7,1,0,0,0,1
673,3,0,20,4,1,0,0,0,1
674,3,1,32,56,0,0,1,0,1
675,3,0,21,8,0,0,1,0,1
676,3,0,18,8,0,0,1,0,1
678,3,0,6,15,1,0,0,0,1
679,3,0,9,15,1,0,0,1,0
680,3,0,25,7,1,0,0,0,1
681,3,0,25,15,1,0,0,1,0
682,3,0,25,8,0,1,0,1,0
683,3,0,40,16,0,1,0,0,1
684,3,0,32,16,0,1,0,1,0
685,3,0,21,16,0,0,1,0,1
686,3,1,22,8,0,1,0,1,0
687,3,0,20,8,0,0,1,1,0
688,3,0,29,7,0,0,1,0,1
689,3,0,22,7,0,0,1,0,1
690,3,0,22,8,0,0,1,0,1
692,3,0,18,7,0,1,0,1,0
693,3,1,21,8,0,1,0,0,1
694,3,0,19,7,0,1,0,0,1
695,3,0,18,8,0,1,0,1,0
696,3,0,21,9,0,0,1,1,0
697,3,0,30,9,0,0,1,1,0
698,3,0,18,9,0,0,1,0,1
699,3,0,38,9,0,0,1,0,1
700,3,0,17,9,0,0,1,0,1
702,3,0,21,8,0,1,0,1,0
703,3,0,21,8,0,1,0,0,1
704,3,0,21,8,0,0,1,0,1
705,3,0,25,14,1,0,0,0,1
706,3,0,25,14,1,0,0,1,0
707,3,0,28,8,0,0,1,0,1
708,3,0,24,8,0,0,1,0,1
709,3,1,16,8,0,1,0,1,0
710,3,0,37,8,0,1,0,1,0
711,3,0,28,7,0,0,1,0,1
712,3,0,24,8,0,0,1,0,1
713,3,0,21,8,0,1,0,0,1
715,3,0,29,8,0,0,1,0,1
716,3,0,26,14,1,0,0,0,1
717,3,0,18,14,1,0,0,0,1
718,3,0,20,7,0,0,1,0,1
719,3,1,18,8,0,0,1,0,1
720,3,0,24,7,0,1,0,0,1
721,3,0,36,7,0,0,1,0,1
722,3,0,24,7,0,0,1,0,1
723,3,0,31,8,0,1,0,0,1
724,3,0,31,8,0,1,0,0,1
725,3,1,22,8,0,1,0,1,0
726,3,0,30,8,0,1,0,1,0
727,3,0,70,8,0,1,0,0,1
728,3,0,43,8,0,0,1,0,1
729,3,0,35,8,0,0,1,0,1
730,3,0,27,8,0,0,1,0,1
731,3,0,19,8,0,0,1,0,1
732,3,0,30,8,0,0,1,0,1
733,3,1,9,16,0,0,1,0,1
734,3,1,3,16,0,0,1,0,1
735,3,1,36,16,0,0,1,1,0
736,3,0,59,7,0,0,1,0,1
737,3,0,19,8,0,0,1,0,1
738,3,1,17,16,0,0,1,1,0
739,3,0,44,16,0,0,1,0,1
741,3,0,22,7,1,0,0,0,1
742,3,1,45,8,0,0,1,0,1
743,3,0,22,11,0,0,1,1,0
744,3,0,19,10,0,0,1,0,1
745,3,1,30,7,0,1,0,1,0
746,3,1,29,8,0,1,0,0,1
747,3,0,1,14,0,0,1,0,1
748,3,0,34,14,0,0,1,0,1
749,3,0,28,14,0,0,1,1,0
751,3,0,25,8,0,0,1,0,1
752,3,0,24,24,0,0,1,0,1
754,3,0,21,24,0,0,1,0,1
755,3,0,17,8,0,0,1,0,1
756,3,0,25,16,0,0,1,0,1
757,3,1,25,16,0,0,1,1,0
758,3,1,36,17,0,0,1,0,1
759,3,1,36,17,0,0,1,1,0
760,3,1,30,10,0,0,1,0,1
761,3,0,16,10,0,0,1,0,1
762,3,1,1,21,0,0,1,0,1
763,3,1,1,21,0,0,1,1,0
764,3,0,26,21,0,0,1,0,1
765,3,1,33,21,0,0,1,1,0
767,3,0,25,8,0,0,1,0,1
770,3,0,36,7,0,0,1,0,1
771,3,1,19,8,0,1,0,1,0
772,3,0,17,8,0,0,1,0,1
773,3,0,42,9,0,0,1,0,1
774,3,0,43,8,0,0,1,0,1
776,3,0,32,8,0,1,0,0,1
777,3,1,19,8,0,0,1,0,1
778,3,1,30,12,0,0,1,1,0
779,3,0,24,8,0,1,0,1,0
780,3,1,23,8,0,0,1,1,0
781,3,0,33,8,1,0,0,0,1
782,3,0,65,8,0,1,0,0,1
783,3,1,24,8,0,0,1,0,1
784,3,0,23,14,0,0,1,0,1
785,3,1,22,14,0,0,1,1,0
786,3,0,18,8,0,0,1,0,1
787,3,0,16,8,0,0,1,0,1
788,3,0,45,7,0,0,1,0,1
790,3,0,39,7,1,0,0,0,1
791,3,0,17,7,1,0,0,0,1
792,3,0,15,7,1,0,0,0,1
793,3,0,47,7,0,0,1,0,1
794,3,1,5,12,0,0,1,1,0
796,3,0,40,15,0,0,1,0,1
797,3,0,40,8,0,1,0,0,1
798,3,1,25,7,0,0,1,0,1
799,3,0,18,8,0,0,1,0,1
801,3,0,25,8,0,1,0,0,1
802,3,0,25,7,0,1,0,0,1
803,3,0,26,8,0,1,0,0,1
805,3,1,25,56,0,0,1,0,1
806,3,0,21,34,0,0,1,1,0
807,3,0,9,34,0,0,1,1,0
808,3,0,25,8,0,0,1,0,1
809,3,0,18,34,0,0,1,0,1
810,3,0,16,34,0,0,1,0,1
811,3,0,48,34,0,0,1,1,0
813,3,0,25,7,0,0,1,0,1
814,3,0,25,8,0,1,0,0,1
815,3,0,25,14,0,0,1,0,1
816,3,0,25,8,1,0,0,0,1
818,3,1,16,8,0,1,0,1,0
819,3,1,25,8,0,1,0,1,0
820,3,1,9,21,0,0,1,0,1
821,3,0,33,21,0,0,1,0,1
822,3,0,41,8,0,0,1,0,1
823,3,1,31,21,0,0,1,1,0
824,3,0,38,7,0,0,1,0,1
825,3,0,9,47,0,0,1,0,1
826,3,0,1,47,0,0,1,0,1
827,3,0,11,47,0,0,1,0,1
828,3,0,10,47,0,0,1,1,0
829,3,0,16,47,0,0,1,1,0
830,3,0,14,47,0,0,1,0,1
831,3,0,40,47,0,0,1,0,1
832,3,0,43,47,0,0,1,1,0
833,3,0,51,8,0,0,1,0,1
834,3,0,32,8,0,0,1,0,1
836,3,0,20,10,0,0,1,0,1
837,3,0,37,8,0,0,1,0,1
838,3,0,28,8,0,0,1,0,1
839,3,0,19,8,0,0,1,0,1
840,3,0,24,9,0,0,1,1,0
841,3,0,17,8,0,1,0,1,0
842,3,0,25,20,0,0,1,0,1
844,3,0,28,16,0,0,1,0,1
845,3,1,24,16,0,0,1,1,0
846,3,0,20,10,0,0,1,0,1
847,3,0,24,7,1,0,0,0,1
848,3,0,41,14,0,0,1,0,1
849,3,0,26,8,0,0,1,0,1
850,3,0,21,8,0,0,1,0,1
851,3,1,45,14,0,0,1,1,0
852,3,0,25,8,0,0,1,1,0
853,3,0,25,7,0,0,1,0,1
854,3,0,25,7,0,1,0,0,1
855,3,0,11,19,1,0,0,0,1
857,3,1,27,7,0,0,1,0,1
859,3,0,18,7,0,1,0,1,0
860,3,1,26,8,0,0,1,1,0
861,3,0,23,8,0,0,1,1,0
862,3,1,22,9,0,0,1,1,0
863,3,0,28,8,0,0,1,0,1
864,3,0,28,8,0,0,1,1,0
866,3,1,2,12,0,0,1,1,0
867,3,1,22,12,0,0,1,1,0
868,3,0,43,6,0,0,1,0,1
869,3,0,28,23,0,0,1,0,1
870,3,1,27,8,0,0,1,1,0
872,3,1,25,8,0,0,1,1,0
873,3,0,42,8,0,0,1,0,1
874,3,1,25,8,0,0,1,0,1
875,3,0,30,7,1,0,0,0,1
877,3,0,27,8,0,0,1,1,0
878,3,0,25,8,0,0,1,1,0
880,3,1,29,8,1,0,0,0,1
881,3,1,21,8,0,0,1,0,1
882,3,0,25,7,0,0,1,0,1
884,3,0,48,8,0,0,1,0,1
885,3,0,17,7,0,0,1,0,1
887,3,1,25,8,0,0,1,0,1
888,3,0,34,6,0,0,1,0,1
889,3,1,26,8,0,0,1,0,1
891,3,0,33,9,0,0,1,0,1
892,3,0,31,8,0,0,1,0,1
893,3,0,29,8,0,0,1,0,1
894,3,1,4,11,0,0,1,0,1
895,3,1,1,11,0,0,1,1,0
896,3,0,49,0,0,0,1,0,1
897,3,0,33,8,0,0,1,0,1
898,3,0,19,0,0,0,1,0,1
899,3,1,27,11,0,0,1,1,0
900,3,0,25,23,0,0,1,0,1
901,3,0,25,23,0,0,1,1,0
904,3,0,23,8,0,0,1,0,1
905,3,1,32,8,0,0,1,0,1
906,3,0,27,8,0,0,1,0,1
907,3,0,20,10,0,0,1,1,0
908,3,0,21,10,0,0,1,1,0
909,3,1,32,8,0,0,1,0,1
910,3,0,17,7,0,0,1,0,1
911,3,0,21,8,0,0,1,0,1
912,3,0,30,8,0,0,1,0,1
914,3,0,33,8,0,0,1,0,1
915,3,0,22,8,0,0,1,0,1
916,3,1,4,13,1,0,0,1,0
917,3,1,39,13,1,0,0,0,1
919,3,0,18,7,1,0,0,0,1
924,3,0,34,8,0,1,0,0,1
925,3,0,44,8,0,0,1,0,1
926,3,1,25,8,0,1,0,0,1
927,3,0,25,14,1,0,0,0,1
928,3,0,25,14,1,0,0,1,0
931,3,0,25,8,0,1,0,0,1
932,3,0,22,9,0,0,1,1,0
933,3,0,26,9,0,0,1,0,1
934,3,1,4,22,0,0,1,1,0
935,3,1,29,22,0,0,1,0,1
936,3,1,26,22,0,0,1,1,0
937,3,0,1,12,0,0,1,1,0
938,3,0,18,8,0,0,1,0,1
939,3,0,36,12,0,0,1,1,0
941,3,1,25,7,1,0,0,0,1
943,3,0,37,10,0,0,1,1,0
946,3,0,25,56,0,0,1,0,1
947,3,1,22,7,0,0,1,1,0
949,3,1,26,56,0,0,1,0,1
950,3,0,29,9,0,0,1,0,1
951,3,0,29,8,0,0,1,0,1
952,3,0,22,8,0,0,1,0,1
953,3,1,22,7,1,0,0,0,1
954,3,0,25,25,0,0,1,0,1
955,3,0,25,25,0,0,1,1,0
959,3,0,32,8,0,0,1,0,1
960,3,0,34,6,1,0,0,0,1
961,3,0,25,16,0,1,0,1,0
962,3,0,25,16,0,1,0,0,1
963,3,0,36,0,0,0,1,0,1
964,3,0,39,24,0,0,1,0,1
965,3,0,24,10,0,0,1,0,1
966,3,0,25,8,0,0,1,1,0
967,3,0,45,8,0,0,1,1,0
968,3,0,36,16,0,0,1,0,1
969,3,0,30,16,0,0,1,1,0
971,3,0,25,8,0,1,0,0,1
972,3,0,28,56,0,0,1,0,1
973,3,0,25,8,0,0,1,0,1
974,3,0,30,16,0,0,1,0,1
975,3,0,26,16,0,0,1,1,0
976,3,0,25,8,0,0,1,0,1
977,3,0,20,7,0,0,1,0,1
978,3,1,27,9,0,0,1,0,1
979,3,0,51,7,0,0,1,0,1
980,3,1,23,8,0,0,1,1,0
981,3,1,32,8,0,0,1,0,1
985,3,1,24,7,0,0,1,0,1
986,3,0,22,7,0,0,1,0,1
987,3,0,25,8,0,1,0,1,0
990,3,0,29,8,0,0,1,0,1
991,3,1,25,7,1,0,0,0,1
992,3,0,30,8,0,1,0,1,0
993,3,1,25,8,0,1,0,1,0
995,3,0,35,8,1,0,0,0,1
996,3,0,33,8,0,0,1,0,1
997,3,1,25,7,1,0,0,1,0
1001,3,1,25,23,0,1,0,1,0
1003,3,1,25,23,0,1,0,0,1
1004,3,1,25,8,0,1,0,1,0
1006,3,1,25,8,0,1,0,1,0
1007,3,1,15,8,0,1,0,1,0
1008,3,0,35,8,0,1,0,1,0
1010,3,0,24,16,0,0,1,0,1
1011,3,0,19,16,0,0,1,1,0
1013,3,0,25,8,0,0,1,1,0
1015,3,0,56,8,0,0,1,0,1
1017,3,1,21,8,0,0,1,0,1
1019,3,0,24,8,0,0,1,0,1
1020,3,0,21,8,0,0,1,0,1
1024,3,0,25,8,0,0,1,0,1
1025,3,1,6,12,0,0,1,0,1
1026,3,1,27,12,0,0,1,1,0
1028,3,1,25,24,0,1,0,1,0
1029,3,0,25,24,0,1,0,0,1
1030,3,0,25,8,0,1,0,0,1
1031,3,0,34,8,0,0,1,0,1
1033,3,1,25,8,0,0,1,0,1
1034,3,1,25,15,1,0,0,0,1
1036,3,1,25,15,1,0,0,1,0
1037,3,1,25,7,1,0,0,1,0
1039,3,1,25,8,0,1,0,1,0
1040,3,1,24,8,0,1,0,1,0
1042,3,1,25,16,0,1,0,1,0
1046,3,0,22,8,0,0,1,0,1
1047,3,1,15,7,1,0,0,1,0
1048,3,1,1,16,1,0,0,1,0
1049,3,1,20,16,1,0,0,0,1
1050,3,1,19,16,1,0,0,1,0
1051,3,0,33,8,0,0,1,0,1
1056,3,1,12,11,1,0,0,0,1
1057,3,1,14,11,1,0,0,1,0
1058,3,0,29,8,0,0,1,1,0
1059,3,0,28,8,0,0,1,0,1
1060,3,1,18,8,0,0,1,1,0
1061,3,1,26,8,0,0,1,1,0
1063,3,0,41,7,0,0,1,0,1
1064,3,1,39,8,0,0,1,0,1
1065,3,0,21,8,0,0,1,0,1
1066,3,0,28,7,1,0,0,0,1
1067,3,1,22,8,0,0,1,1,0
1068,3,0,61,6,0,0,1,0,1
1070,3,0,25,8,0,1,0,0,1
1072,3,0,25,8,0,1,0,0,1
1075,3,0,23,9,0,0,1,0,1
1079,3,1,22,8,0,0,1,1,0
1081,3,1,25,8,0,1,0,1,0
1082,3,1,9,3,0,0,1,0,1
1084,3,0,42,8,0,0,1,0,1
1085,3,0,25,7,0,0,1,0,1
1086,3,0,31,8,0,0,1,1,0
1087,3,0,28,8,0,0,1,0,1
1088,3,1,32,8,0,0,1,0,1
1089,3,0,20,9,0,0,1,0,1
1090,3,0,23,9,0,0,1,1,0
1091,3,0,20,9,0,0,1,1,0
1092,3,0,20,9,0,0,1,0,1
1093,3,0,16,9,0,0,1,0,1
1094,3,1,31,9,0,0,1,1,0
1095,3,0,25,8,0,1,0,1,0
1096,3,0,2,21,0,0,1,0,1
1097,3,0,6,21,0,0,1,0,1
1098,3,0,3,21,0,0,1,1,0
1099,3,0,8,21,0,0,1,1,0
1100,3,0,29,21,0,0,1,1,0
1101,3,0,1,40,0,0,1,0,1
1102,3,0,7,40,0,0,1,0,1
1103,3,0,2,40,0,0,1,0,1
1104,3,0,16,40,0,0,1,0,1
1105,3,0,14,40,0,0,1,0,1
1106,3,0,41,40,0,0,1,1,0
1107,3,0,21,9,0,0,1,0,1
1108,3,0,19,14,0,0,1,0,1
1109,3,0,25,9,1,0,0,0,1
1110,3,0,32,8,0,0,1,0,1
1111,3,0,1,14,0,0,1,0,1
1112,3,0,3,14,0,0,1,1,0
1113,3,0,26,14,0,0,1,1,0
1114,3,0,25,7,0,0,1,0,1
1115,3,0,25,8,0,0,1,0,1
1117,3,0,21,8,0,0,1,0,1
1118,3,0,25,8,0,0,1,0,1
1120,3,1,25,8,0,0,1,0,1
1121,3,1,25,22,1,0,0,0,1
1122,3,1,25,22,1,0,0,1,0
1124,3,0,25,8,0,1,0,1,0
1126,3,0,28,8,0,0,1,1,0
1129,3,0,25,8,0,0,1,0,1
1130,3,0,18,8,0,0,1,1,0
1131,3,1,32,8,0,0,1,0,1
1134,3,0,24,9,0,0,1,0,1
1136,3,0,25,8,0,0,1,1,0
1139,3,0,38,8,0,0,1,0,1
1141,3,0,10,29,0,1,0,0,1
1142,3,0,4,29,0,1,0,0,1
1143,3,0,7,29,0,1,0,0,1
1144,3,0,2,29,0,1,0,0,1
1145,3,0,8,29,0,1,0,0,1
1146,3,0,39,29,0,1,0,1,0
1147,3,0,22,40,0,0,1,1,0
1148,3,0,35,7,0,0,1,0,1
1149,3,1,25,8,0,1,0,1,0
1151,3,0,25,14,0,0,1,1,0
1152,3,0,50,14,0,0,1,0,1
1153,3,0,47,14,0,0,1,1,0
1156,3,0,2,20,0,0,1,1,0
1157,3,0,18,20,0,0,1,0,1
1158,3,0,41,20,0,0,1,1,0
1160,3,0,50,8,0,0,1,0,1
1161,3,0,16,8,0,0,1,0,1
1165,3,0,25,7,1,0,0,0,1
1167,3,0,25,8,0,1,0,0,1
1168,3,0,25,8,0,0,1,0,1
1169,3,0,38,7,0,0,1,0,1
1170,3,0,25,70,0,0,1,0,1
1171,3,0,14,70,0,0,1,0,1
1172,3,0,25,70,0,0,1,1,0
1181,3,0,24,9,0,0,1,0,1
1182,3,1,21,8,0,0,1,1,0
1183,3,0,39,8,0,0,1,0,1
1184,3,0,25,22,1,0,0,0,1
1187,3,1,1,17,0,0,1,1,0
1188,3,1,24,17,0,0,1,1,0
1189,3,1,4,17,0,0,1,1,0
1190,3,1,25,10,0,0,1,0,1
1191,3,0,20,8,0,0,1,0,1
1192,3,0,24,8,0,0,1,0,1
1193,3,0,25,8,0,1,0,0,1
1196,3,1,29,10,0,0,1,0,1
1197,3,0,25,15,0,0,1,0,1
1198,3,1,25,8,0,1,0,1,0
1201,3,0,22,7,1,0,0,0,1
1203,3,0,40,8,0,0,1,0,1
1205,3,1,18,7,0,0,1,1,0
1206,3,0,4,28,0,0,1,0,1
1207,3,0,10,28,0,0,1,0,1
1208,3,0,9,28,0,0,1,1,0
1209,3,0,2,28,0,0,1,1,0
1210,3,0,40,28,0,0,1,0,1
1211,3,0,45,28,0,0,1,1,0
1214,3,0,25,9,0,0,1,0,1
1217,3,0,19,8,0,0,1,0,1
1220,3,0,32,8,0,0,1,0,1
1222,3,0,33,9,1,0,0,0,1
1223,3,1,23,8,0,0,1,1,0
1225,3,0,60,13,0,0,1,0,1
1227,3,0,22,10,0,0,1,1,0
1228,3,1,31,8,0,0,1,0,1
1229,3,0,27,9,0,0,1,0,1
1230,3,0,2,10,0,0,1,1,0
1231,3,0,29,10,0,0,1,1,0
1232,3,1,16,8,0,0,1,0,1
1233,3,1,44,8,0,0,1,0,1
1235,3,0,74,8,0,0,1,0,1
1236,3,1,14,9,0,0,1,0,1
1237,3,0,24,8,0,0,1,0,1
1238,3,1,25,8,0,0,1,0,1
1240,3,1,1,9,1,0,0,0,1
1241,3,0,25,6,1,0,0,0,1
1244,3,1,16,9,1,0,0,1,0
1251,3,0,30,8,0,0,1,0,1
1254,3,1,25,0,0,0,1,0,1
1256,3,1,7,15,1,0,0,0,1
1257,3,1,9,15,1,0,0,1,0
1258,3,1,29,15,1,0,0,1,0
1259,3,0,36,8,0,0,1,0,1
1260,3,1,18,10,0,0,1,1,0
1261,3,1,63,10,0,0,1,1,0
1263,3,0,12,14,0,0,1,0,1
1264,3,0,40,14,0,0,1,0,1
1265,3,0,10,24,0,0,1,1,0
1266,3,0,36,24,0,0,1,0,1
1267,3,0,30,24,0,0,1,1,0
1268,3,0,25,10,0,0,1,0,1
1269,3,0,33,10,0,0,1,0,1
1270,3,0,28,10,0,0,1,0,1
1272,3,0,47,9,0,0,1,0,1
1273,3,0,18,18,0,0,1,1,0
1274,3,0,31,18,0,0,1,0,1
1275,3,0,16,18,0,0,1,0,1
1276,3,0,31,18,0,0,1,1,0
1279,3,0,14,8,0,0,1,1,0
1281,3,0,22,9,0,0,1,0,1
1285,3,0,32,10,0,0,1,0,1
1286,3,1,38,7,1,0,0,1,0
1287,3,0,51,8,0,0,1,0,1
1288,3,0,18,6,0,0,1,0,1
1289,3,0,21,6,0,0,1,0,1
1290,3,1,47,7,0,0,1,1,0
1291,3,0,25,9,0,0,1,0,1
1294,3,0,28,16,0,0,1,0,1
1295,3,0,21,7,0,0,1,0,1
1298,3,0,36,10,0,0,1,0,1
1299,3,0,27,14,1,0,0,0,1
1300,3,1,15,14,1,0,0,1,0
1301,3,0,46,7,1,0,0,0,1
1304,3,0,14,14,1,0,0,1,0
1306,3,0,26,7,1,0,0,0,1
1307,3,0,27,7,1,0,0,0,1
1308,3,0,29,8,0,0,1,0,1
