pclass,survived,sex,age,fare,embarked
1,1,1,29.0,211.34,S
1,1,0,0.92,151.55,S
1,0,1,2.0,151.55,S
1,0,0,30.0,151.55,S
1,0,1,25.0,151.55,S
1,1,0,48.0,26.55,S
1,1,1,63.0,77.96,S
1,0,0,39.0,0.0,S
1,1,1,53.0,51.48,S
1,0,0,71.0,49.5,C
1,0,0,47.0,227.52,C
1,1,1,18.0,227.52,C
1,1,1,24.0,69.3,C
1,1,1,26.0,78.85,S
1,1,0,80.0,30.0,S
1,0,0,40.0,25.92,S
1,0,0,24.0,247.52,C
1,1,1,50.0,247.52,C
1,1,1,32.0,76.29,C
1,0,0,36.0,75.24,C
1,1,0,37.0,52.55,S
1,1,1,47.0,52.55,S
1,1,0,26.0,30.0,C
1,1,1,42.0,227.52,C
1,1,1,29.0,221.78,S
1,0,0,25.0,26.0,C
1,1,0,25.0,91.08,C
1,1,1,19.0,91.08,C
1,1,1,35.0,135.63,S
1,1,0,28.0,26.55,S
1,0,0,45.0,35.5,S
1,1,0,40.0,31.0,C
1,1,1,30.0,164.87,S
1,1,1,58.0,26.55,S
1,0,0,42.0,26.55,S
1,1,1,45.0,262.38,C
1,1,1,22.0,55.0,S
1,1,0,40.0,26.55,S
1,0,0,41.0,30.5,S
1,0,0,48.0,50.5,C
1,0,0,40.0,39.6,C
1,1,1,44.0,27.72,C
1,1,1,59.0,51.48,S
1,1,1,60.0,76.29,C
1,1,1,41.0,134.5,C
1,0,0,45.0,26.55,S
1,0,0,40.0,31.0,S
1,1,0,42.0,26.29,S
1,1,1,53.0,27.45,C
1,1,0,36.0,512.33,C
1,1,1,58.0,512.33,C
1,0,0,33.0,5.0,S
1,0,0,28.0,47.1,S
1,0,0,17.0,47.1,S
1,1,0,11.0,120.0,S
1,1,1,14.0,120.0,S
1,1,0,36.0,120.0,S
1,1,1,36.0,120.0,S
1,0,0,49.0,26.0,S
1,1,1,40.0,27.72,C
1,0,0,36.0,78.85,S
1,1,1,76.0,78.85,S
1,0,0,46.0,61.18,S
1,1,1,47.0,61.18,S
1,1,0,27.0,53.1,S
1,1,1,33.0,53.1,S
1,1,1,36.0,262.38,C
1,1,1,30.0,86.5,S
1,1,0,45.0,29.7,C
1,1,1,40.0,55.0,S
1,0,0,40.0,0.0,S
1,0,0,27.0,136.78,C
1,1,1,26.0,136.78,C
1,1,1,22.0,151.55,S
1,0,0,40.0,52.0,S
1,0,0,47.0,25.59,S
1,1,1,39.0,83.16,C
1,0,0,37.0,83.16,C
1,1,1,64.0,83.16,C
1,1,1,55.0,25.7,S
1,0,0,40.0,26.55,S
1,0,0,70.0,71.0,S
1,1,1,36.0,71.0,S
1,1,1,64.0,26.55,S
1,0,0,39.0,71.28,C
1,1,1,38.0,71.28,C
1,1,0,51.0,26.55,S
1,1,0,27.0,30.5,S
1,1,1,33.0,151.55,S
1,0,0,31.0,52.0,S
1,1,1,27.0,52.0,S
1,1,0,31.0,57.0,S
1,1,1,17.0,57.0,S
1,1,0,53.0,81.86,S
1,1,0,4.0,81.86,S
1,1,1,54.0,81.86,S
1,0,0,50.0,106.42,C
1,1,1,27.0,247.52,C
1,1,1,48.0,106.42,C
1,1,1,48.0,39.6,C
1,1,0,49.0,56.93,C
1,0,0,39.0,29.7,C
1,1,1,23.0,83.16,C
1,1,1,38.0,227.52,C
1,1,1,54.0,78.27,C
1,0,1,36.0,31.68,C
1,0,0,40.0,221.78,S
1,1,1,40.0,31.68,S
1,1,1,40.0,110.88,C
1,1,0,36.0,26.39,S
1,0,0,30.0,27.75,C
1,1,1,24.0,263.0,S
1,1,1,28.0,263.0,S
1,1,1,23.0,263.0,S
1,0,0,19.0,263.0,S
1,0,0,64.0,263.0,S
1,1,1,60.0,263.0,S
1,1,1,30.0,56.93,C
1,0,0,40.0,26.55,S
1,1,0,50.0,133.65,S
1,1,0,43.0,27.72,C
1,1,1,40.0,133.65,S
1,1,1,22.0,49.5,C
1,1,0,60.0,79.2,C
1,1,1,48.0,79.2,C
1,0,0,40.0,0.0,S
1,0,0,37.0,53.1,S
1,1,1,35.0,53.1,S
1,0,0,47.0,38.5,S
1,1,1,35.0,211.5,C
1,1,1,22.0,59.4,C
1,1,1,45.0,59.4,C
1,0,0,24.0,79.2,C
1,1,0,49.0,89.1,C
1,1,1,40.0,89.1,C
1,0,0,71.0,34.65,C
1,1,0,53.0,28.5,C
1,1,1,19.0,30.0,S
1,0,0,38.0,153.46,S
1,1,1,58.0,153.46,S
1,1,0,23.0,63.36,C
1,1,1,45.0,63.36,C
1,0,0,46.0,79.2,C
1,1,0,25.0,55.44,C
1,1,1,25.0,55.44,C
1,1,0,48.0,76.73,C
1,1,1,49.0,76.73,C
1,0,0,40.0,42.4,S
1,0,0,45.0,83.48,S
1,1,1,35.0,83.48,S
1,0,0,40.0,0.0,S
1,1,0,27.0,76.73,C
1,1,0,40.0,30.0,S
1,1,1,24.0,83.16,C
1,0,0,55.0,93.5,S
1,1,1,52.0,93.5,S
1,0,0,42.0,42.5,S
1,0,0,40.0,51.86,S
1,0,0,55.0,50.0,S
1,1,1,16.0,57.98,C
1,1,1,44.0,57.98,C
1,1,1,51.0,77.96,S
1,0,0,42.0,52.0,S
1,1,1,35.0,52.0,S
1,1,0,35.0,26.55,C
1,1,0,38.0,90.0,S
1,0,0,40.0,30.7,C
1,1,1,35.0,90.0,S
1,1,1,38.0,80.0,S
1,0,1,50.0,28.71,C
1,1,0,49.0,0.0,S
1,0,0,46.0,26.0,S
1,0,0,50.0,26.0,S
1,0,0,32.5,211.5,C
1,0,0,58.0,29.7,C
1,0,0,41.0,51.86,S
1,1,1,40.0,51.86,S
1,1,0,42.0,52.55,S
1,1,1,45.0,52.55,S
1,0,0,40.0,26.55,S
1,1,1,39.0,211.34,S
1,1,1,49.0,25.93,S
1,1,1,30.0,106.42,C
1,1,0,35.0,512.33,C
1,0,0,40.0,27.72,C
1,0,0,42.0,26.55,S
1,1,1,55.0,27.72,C
1,1,1,16.0,39.4,S
1,1,1,51.0,39.4,S
1,0,0,29.0,30.0,S
1,1,1,21.0,77.96,S
1,0,0,30.0,45.5,S
1,1,1,58.0,146.52,C
1,1,1,15.0,211.34,S
1,0,0,30.0,26.0,S
1,1,1,16.0,86.5,S
1,1,0,40.0,29.7,C
1,0,0,19.0,53.1,S
1,1,1,18.0,53.1,S
1,1,1,24.0,49.5,C
1,0,0,46.0,75.24,C
1,0,0,54.0,51.86,S
1,1,0,36.0,26.29,S
1,0,0,28.0,82.17,C
1,1,1,40.0,82.17,C
1,0,0,65.0,26.55,S
1,0,0,44.0,90.0,Q
1,1,1,33.0,90.0,Q
1,1,1,37.0,90.0,Q
1,1,0,30.0,57.75,C
1,0,0,55.0,30.5,S
1,0,0,47.0,42.4,S
1,0,0,37.0,29.7,C
1,1,1,31.0,113.28,C
1,1,1,23.0,113.28,C
1,0,0,58.0,113.28,C
1,1,1,19.0,26.28,S
1,0,0,64.0,26.0,S
1,1,1,39.0,108.9,C
1,1,0,40.0,25.74,C
1,1,1,22.0,61.98,C
1,0,0,65.0,61.98,C
1,0,0,28.5,27.72,C
1,0,0,40.0,0.0,S
1,0,0,45.5,28.5,S
1,0,0,23.0,93.5,S
1,0,0,29.0,66.6,S
1,1,1,22.0,66.6,S
1,0,0,18.0,108.9,C
1,1,1,17.0,108.9,C
1,1,1,30.0,93.5,S
1,1,0,52.0,30.5,S
1,0,0,47.0,52.0,S
1,1,1,56.0,83.16,C
1,0,0,38.0,0.0,S
1,1,0,40.0,39.6,S
1,0,0,22.0,135.63,C
1,0,0,40.0,227.52,C
1,1,1,43.0,211.34,S
1,0,0,31.0,50.5,S
1,1,0,45.0,26.55,S
1,0,0,40.0,50.0,S
1,1,1,33.0,27.72,C
1,0,0,46.0,79.2,C
1,0,0,36.0,40.12,C
1,1,1,33.0,86.5,S
1,0,0,55.0,59.4,C
1,1,1,54.0,59.4,C
1,0,0,33.0,26.55,S
1,1,0,13.0,262.38,C
1,1,1,18.0,262.38,C
1,1,1,21.0,262.38,C
1,0,0,61.0,262.38,C
1,1,1,48.0,262.38,C
1,1,0,40.0,30.5,S
1,1,1,24.0,69.3,C
1,1,0,40.0,26.0,S
1,1,1,35.0,57.75,C
1,1,1,30.0,31.0,C
1,1,0,34.0,26.55,S
1,1,1,40.0,153.46,S
1,1,0,35.0,26.29,S
1,0,0,50.0,55.9,S
1,1,1,39.0,55.9,S
1,1,0,56.0,35.5,C
1,1,0,28.0,35.5,S
1,0,0,56.0,26.55,S
1,0,0,56.0,30.7,C
1,0,0,24.0,60.0,S
1,0,0,40.0,26.0,S
1,1,1,18.0,60.0,S
1,1,0,24.0,82.27,S
1,1,1,23.0,82.27,S
1,1,0,6.0,134.5,C
1,1,0,45.0,134.5,C
1,1,1,40.0,134.5,C
1,0,0,57.0,146.52,C
1,1,1,40.0,146.52,C
1,1,0,32.0,30.5,C
1,0,0,62.0,26.55,S
1,1,0,54.0,55.44,C
1,1,1,43.0,55.44,C
1,1,1,52.0,78.27,C
1,0,0,40.0,27.72,C
1,1,1,62.0,80.0,S
1,0,0,67.0,221.78,S
1,0,1,63.0,221.78,S
1,0,0,61.0,32.32,S
1,1,1,48.0,25.93,S
1,1,1,18.0,79.65,S
1,0,0,52.0,79.65,S
1,1,1,39.0,79.65,S
1,1,0,48.0,52.0,S
1,1,1,40.0,52.0,S
1,0,0,49.0,110.88,C
1,1,0,17.0,110.88,C
1,1,1,39.0,110.88,C
1,1,1,40.0,79.2,C
1,1,0,31.0,28.54,C
1,0,0,40.0,27.72,C
1,0,0,61.0,33.5,S
1,0,0,47.0,34.02,S
1,1,1,35.0,512.33,C
1,0,0,64.0,75.25,C
1,1,1,60.0,75.25,C
1,0,0,60.0,26.55,S
1,0,0,54.0,77.29,S
1,0,0,21.0,77.29,S
1,1,1,55.0,135.63,C
1,1,1,31.0,164.87,S
1,0,0,57.0,164.87,S
1,1,1,45.0,164.87,S
1,0,0,50.0,211.5,C
1,0,0,27.0,211.5,C
1,1,1,50.0,211.5,C
1,1,1,21.0,26.55,S
1,0,0,51.0,61.38,C
1,1,0,21.0,61.38,C
1,0,0,40.0,35.0,S
1,1,1,31.0,134.5,C
1,1,0,40.0,35.5,S
1,0,0,62.0,26.55,S
1,1,1,36.0,135.63,C
2,0,0,30.0,24.0,C
2,1,1,28.0,24.0,C
2,0,0,30.0,13.0,S
2,0,0,18.0,11.5,S
2,0,0,25.0,10.5,S
2,0,0,34.0,26.0,S
2,1,1,36.0,26.0,S
2,0,0,57.0,13.0,S
2,0,0,18.0,11.5,S
2,0,0,23.0,10.5,S
2,1,1,36.0,13.0,S
2,0,0,28.0,10.5,S
2,0,0,51.0,12.52,S
2,1,0,32.0,26.0,S
2,1,1,19.0,26.0,S
2,0,0,28.0,26.0,S
2,1,0,1.0,39.0,S
2,1,1,4.0,39.0,S
2,1,1,12.0,39.0,S
2,1,1,36.0,39.0,S
2,1,0,34.0,13.0,S
2,1,1,19.0,13.0,S
2,0,0,23.0,13.0,S
2,0,0,26.0,13.0,S
2,0,0,42.0,13.0,S
2,0,0,27.0,13.0,S
2,1,1,24.0,13.0,S
2,1,1,15.0,39.0,S
2,0,0,60.0,39.0,S
2,1,1,40.0,39.0,S
2,1,1,20.0,26.0,S
2,0,0,25.0,26.0,S
2,1,1,36.0,13.0,S
2,0,0,25.0,13.0,S
2,0,0,42.0,13.0,S
2,1,1,42.0,13.0,S
2,1,0,0.83,29.0,S
2,1,0,26.0,29.0,S
2,1,1,22.0,29.0,S
2,1,1,35.0,21.0,S
2,0,0,30.0,0.0,S
2,0,0,19.0,13.0,S
2,0,1,44.0,26.0,S
2,0,0,54.0,26.0,S
2,0,0,52.0,13.5,S
2,0,0,37.0,26.0,S
2,0,1,29.0,26.0,S
2,1,1,25.0,30.0,S
2,1,1,45.0,30.0,S
2,0,0,29.0,26.0,S
2,1,1,28.0,26.0,S
2,0,0,29.0,10.5,S
2,0,0,28.0,13.0,S
2,1,0,24.0,10.5,S
2,1,1,8.0,26.25,S
2,0,0,31.0,26.25,S
2,1,1,31.0,26.25,S
2,1,1,22.0,10.5,S
2,0,1,30.0,13.0,S
2,0,1,30.0,21.0,S
2,0,0,21.0,11.5,S
2,0,0,30.0,0.0,S
2,1,0,8.0,36.75,S
2,0,0,18.0,73.5,S
2,1,1,48.0,36.75,S
2,1,1,28.0,13.0,S
2,0,0,32.0,13.0,S
2,0,0,17.0,73.5,S
2,0,0,29.0,27.72,C
2,1,1,24.0,27.72,C
2,0,0,25.0,31.5,S
2,0,0,18.0,73.5,S
2,1,1,18.0,23.0,S
2,1,1,34.0,23.0,S
2,0,0,54.0,26.0,S
2,1,0,8.0,32.5,S
2,0,0,42.0,32.5,S
2,1,1,34.0,32.5,S
2,1,1,27.0,13.86,C
2,1,1,30.0,13.86,C
2,0,0,23.0,13.0,S
2,0,0,21.0,13.0,S
2,0,0,18.0,13.0,S
2,0,0,40.0,26.0,S
2,1,1,29.0,26.0,S
2,0,0,18.0,10.5,S
2,0,0,36.0,13.0,S
2,0,0,30.0,0.0,S
2,0,1,38.0,13.0,S
2,0,0,35.0,26.0,S
2,0,0,38.0,21.0,S
2,0,0,34.0,21.0,S
2,1,1,34.0,13.0,S
2,0,0,16.0,26.0,S
2,0,0,26.0,10.5,S
2,0,0,47.0,10.5,S
2,0,0,21.0,11.5,S
2,0,0,21.0,11.5,S
2,0,0,24.0,13.5,S
2,0,0,24.0,13.0,S
2,0,0,34.0,13.0,S
2,0,0,30.0,13.0,S
2,0,0,52.0,13.0,S
2,0,0,30.0,13.0,S
2,1,0,0.67,14.5,S
2,1,1,24.0,14.5,S
2,0,0,44.0,13.0,S
2,1,1,6.0,33.0,S
2,0,0,28.0,33.0,S
2,1,0,62.0,10.5,S
2,0,0,30.0,10.5,S
2,1,1,7.0,26.25,S
2,0,0,43.0,26.25,S
2,1,1,45.0,26.25,S
2,1,1,24.0,65.0,S
2,1,1,24.0,65.0,S
2,0,0,49.0,65.0,S
2,1,1,48.0,65.0,S
2,1,1,55.0,16.0,S
2,0,0,24.0,73.5,S
2,0,0,32.0,73.5,S
2,0,0,21.0,73.5,S
2,0,1,18.0,13.0,S
2,1,1,20.0,23.0,S
2,0,0,23.0,11.5,S
2,0,0,36.0,13.0,S
2,1,1,54.0,23.0,S
2,0,0,50.0,13.0,S
2,0,0,44.0,26.0,S
2,1,1,29.0,26.0,S
2,0,0,21.0,73.5,S
2,1,0,42.0,13.0,S
2,0,0,63.0,26.0,S
2,0,1,60.0,26.0,S
2,0,0,33.0,12.28,S
2,1,1,17.0,10.5,S
2,0,0,42.0,27.0,S
2,1,1,24.0,27.0,S
2,0,0,47.0,15.0,S
2,0,0,24.0,31.5,S
2,0,0,22.0,31.5,S
2,0,0,32.0,10.5,S
2,1,1,23.0,13.79,C
2,0,0,34.0,26.0,S
2,1,1,24.0,26.0,S
2,0,1,22.0,21.0,S
2,1,1,30.0,12.35,Q
2,0,0,35.0,12.35,Q
2,1,1,45.0,13.5,S
2,0,0,57.0,12.35,Q
2,0,0,30.0,0.0,S
2,0,0,31.0,10.5,S
2,0,1,26.0,26.0,S
2,0,0,30.0,26.0,S
2,0,0,30.0,10.71,Q
2,1,1,1.0,41.58,C
2,1,1,3.0,41.58,C
2,0,0,25.0,41.58,C
2,1,1,22.0,41.58,C
2,1,1,17.0,12.0,C
2,1,1,30.0,33.0,S
2,1,1,34.0,10.5,S
2,0,0,36.0,12.88,C
2,0,0,24.0,10.5,S
2,0,0,61.0,12.35,Q
2,0,0,50.0,26.0,S
2,1,1,42.0,26.0,S
2,0,1,57.0,10.5,S
2,0,0,30.0,15.05,C
2,1,0,1.0,37.0,C
2,0,0,31.0,37.0,C
2,1,1,24.0,37.0,C
2,0,0,30.0,15.58,C
2,0,0,30.0,13.0,S
2,0,0,40.0,16.0,S
2,0,0,32.0,13.5,S
2,0,0,30.0,13.0,S
2,0,0,46.0,26.0,S
2,1,1,13.0,19.5,S
2,1,1,41.0,19.5,S
2,1,0,19.0,10.5,S
2,0,0,39.0,13.0,S
2,0,0,48.0,13.0,S
2,0,0,70.0,10.5,S
2,0,0,27.0,13.0,S
2,0,0,54.0,14.0,S
2,0,0,39.0,26.0,S
2,0,0,16.0,10.5,S
2,0,0,62.0,9.69,Q
2,0,0,32.5,30.07,C
2,1,1,14.0,30.07,C
2,1,0,2.0,26.0,S
2,1,0,3.0,26.0,S
2,0,0,36.5,26.0,S
2,0,0,26.0,13.0,S
2,0,0,19.0,36.75,S
2,0,0,28.0,13.5,S
2,1,0,20.0,13.86,C
2,1,1,29.0,10.5,S
2,0,0,39.0,13.0,S
2,1,0,22.0,10.5,S
2,1,0,30.0,13.86,C
2,0,0,23.0,10.5,S
2,1,0,29.0,13.86,C
2,0,0,28.0,10.5,S
2,0,0,30.0,0.0,S
2,1,1,50.0,26.0,S
2,0,0,19.0,10.5,S
2,0,0,30.0,15.05,C
2,0,0,41.0,13.0,S
2,1,1,21.0,21.0,S
2,1,1,19.0,26.0,S
2,0,0,43.0,21.0,S
2,1,1,32.0,13.0,S
2,0,0,34.0,13.0,S
2,1,0,30.0,12.74,C
2,0,0,27.0,15.03,C
2,1,1,2.0,26.0,S
2,1,1,8.0,26.0,S
2,1,1,33.0,26.0,S
2,0,0,36.0,10.5,S
2,0,0,34.0,21.0,S
2,1,1,30.0,21.0,S
2,1,1,28.0,13.0,S
2,0,0,23.0,15.05,C
2,1,0,0.83,18.75,S
2,1,0,3.0,18.75,S
2,1,1,24.0,18.75,S
2,1,1,50.0,10.5,S
2,0,0,19.0,10.5,S
2,1,1,21.0,10.5,S
2,0,0,26.0,13.0,S
2,0,0,25.0,13.0,S
2,0,0,27.0,26.0,S
2,1,1,25.0,26.0,S
2,1,1,18.0,13.0,S
2,1,1,20.0,36.75,S
2,1,1,30.0,13.0,S
2,0,0,59.0,13.5,S
2,1,1,30.0,12.35,Q
2,0,0,35.0,10.5,S
2,1,1,40.0,13.0,S
2,0,0,25.0,13.0,S
2,0,0,41.0,15.05,C
2,0,0,25.0,10.5,S
2,0,0,18.5,13.0,S
2,0,0,14.0,65.0,S
2,1,1,50.0,10.5,S
2,0,0,23.0,13.0,S
2,1,1,28.0,12.65,S
2,1,1,27.0,10.5,S
2,0,0,29.0,21.0,S
2,0,1,27.0,21.0,S
2,0,0,40.0,13.0,S
2,1,1,31.0,21.0,S
2,0,0,30.0,21.0,S
2,0,0,23.0,10.5,S
2,1,1,31.0,21.0,S
2,0,0,30.0,0.0,S
2,1,1,12.0,15.75,S
2,1,1,40.0,15.75,S
2,1,1,32.5,13.0,S
2,0,0,27.0,26.0,S
2,1,1,29.0,26.0,S
2,1,0,2.0,23.0,S
2,1,1,4.0,23.0,S
2,1,1,29.0,23.0,S
2,1,1,0.92,27.75,S
2,1,1,5.0,27.75,S
2,0,0,36.0,27.75,S
2,1,1,33.0,27.75,S
2,0,0,66.0,10.5,S
2,0,0,30.0,12.88,S
2,1,0,31.0,13.0,S
2,1,0,30.0,13.0,S
2,1,1,26.0,13.5,S
2,0,1,24.0,13.0,S
3,0,0,42.0,7.55,S
3,0,0,13.0,20.25,S
3,0,0,16.0,20.25,S
3,1,1,35.0,20.25,S
3,1,1,16.0,7.65,S
3,1,0,25.0,7.65,S
3,1,0,20.0,7.92,S
3,1,1,18.0,7.23,C
3,0,0,30.0,7.25,S
3,0,0,26.0,8.05,S
3,0,1,40.0,9.48,S
3,1,0,0.83,9.35,S
3,1,1,18.0,9.35,S
3,1,0,26.0,18.79,C
3,0,0,26.0,7.89,S
3,0,0,20.0,7.92,S
3,0,0,24.0,7.05,S
3,0,0,25.0,7.05,S
3,0,0,35.0,8.05,S
3,0,0,18.0,8.3,S
3,0,0,32.0,22.52,S
3,1,1,19.0,7.85,S
3,0,0,4.0,31.28,S
3,0,1,6.0,31.28,S
3,0,1,2.0,31.28,S
3,1,1,17.0,7.92,S
3,0,1,38.0,7.78,S
3,0,1,9.0,31.28,S
3,0,1,11.0,31.28,S
3,0,0,39.0,31.28,S
3,1,0,27.0,7.8,S
3,0,0,26.0,7.78,S
3,0,1,39.0,31.28,S
3,0,0,20.0,7.85,S
3,0,0,26.0,7.9,S
3,0,0,25.0,17.8,S
3,0,1,18.0,17.8,S
3,0,0,24.0,7.78,S
3,0,0,35.0,7.05,S
3,0,0,5.0,31.39,S
3,0,0,9.0,31.39,S
3,1,0,3.0,31.39,S
3,0,0,13.0,31.39,S
3,1,1,5.0,31.39,S
3,0,0,40.0,31.39,S
